# Source: https://raw.githubusercontent.com/coinmetrics/data/master/csv/btc.csv (Coin Metrics community data)
# Columns extracted: time (date) + PriceUSD (daily close)
# Window: 2010-07-18 (first market print) through 2017-08-16 (last day before Binance BTCUSDT spot starts)
# Downloaded: 2026-05-26
date,close
2010-07-18,0.0858
2010-07-19,0.0808
2010-07-20,0.0747
2010-07-21,0.0792
2010-07-22,0.0585
2010-07-23,0.0606
2010-07-24,0.0545
2010-07-25,0.0505
2010-07-26,0.0560
2010-07-27,0.0586
2010-07-28,0.0589
2010-07-29,0.0699
2010-07-30,0.0647
2010-07-31,0.0675
2010-08-01,0.0611
2010-08-02,0.0600
2010-08-03,0.0600
2010-08-04,0.0570
2010-08-05,0.0610
2010-08-06,0.0617
2010-08-07,0.0590
2010-08-08,0.0609
2010-08-09,0.0704
2010-08-10,0.0693
2010-08-11,0.0670
2010-08-12,0.0700
2010-08-13,0.0645
2010-08-14,0.0670
2010-08-15,0.0651
2010-08-16,0.0655
2010-08-17,0.0700
2010-08-18,0.0680
2010-08-19,0.0667
2010-08-20,0.0655
2010-08-21,0.0664
2010-08-22,0.0659
2010-08-23,0.0649
2010-08-24,0.0650
2010-08-25,0.0648
2010-08-26,0.0641
2010-08-27,0.0650
2010-08-28,0.0646
2010-08-29,0.0640
2010-08-30,0.0650
2010-08-31,0.0600
2010-09-01,0.0620
2010-09-02,0.0634
2010-09-03,0.0609
2010-09-04,0.0622
2010-09-05,0.0617
2010-09-06,0.0616
2010-09-07,0.0612
2010-09-08,0.0610
2010-09-09,0.0611
2010-09-10,0.0610
2010-09-11,0.0636
2010-09-12,0.0615
2010-09-13,0.0622
2010-09-14,0.0620
2010-09-15,0.0604
2010-09-16,0.0619
2010-09-17,0.0600
2010-09-18,0.0610
2010-09-19,0.0627
2010-09-20,0.0621
2010-09-21,0.0626
2010-09-22,0.0619
2010-09-23,0.0622
2010-09-24,0.0622
2010-09-25,0.0620
2010-09-26,0.0620
2010-09-27,0.0622
2010-09-28,0.0619
2010-09-29,0.0619
2010-09-30,0.0619
2010-10-01,0.0620
2010-10-02,0.0614
2010-10-03,0.0611
2010-10-04,0.0613
2010-10-05,0.0614
2010-10-06,0.0628
2010-10-07,0.0670
2010-10-08,0.0845
2010-10-09,0.0938
2010-10-10,0.0971
2010-10-11,0.0950
2010-10-12,0.0949
2010-10-13,0.1049
2010-10-14,0.1020
2010-10-15,0.1050
2010-10-16,0.1010
2010-10-17,0.1020
2010-10-18,0.1024
2010-10-19,0.0975
2010-10-20,0.0990
2010-10-21,0.1070
2010-10-22,0.1025
2010-10-23,0.1046
2010-10-24,0.1150
2010-10-25,0.1391
2010-10-26,0.1510
2010-10-27,0.1877
2010-10-28,0.1731
2010-10-29,0.1900
2010-10-30,0.1976
2010-10-31,0.1925
2010-11-01,0.1945
2010-11-02,0.1938
2010-11-03,0.1931
2010-11-04,0.2293
2010-11-05,0.2591
2010-11-06,0.4010
2010-11-07,0.3400
2010-11-08,0.2432
2010-11-09,0.2173
2010-11-10,0.2295
2010-11-11,0.2231
2010-11-12,0.2682
2010-11-13,0.2760
2010-11-14,0.2790
2010-11-15,0.2685
2010-11-16,0.2250
2010-11-17,0.2419
2010-11-18,0.2691
2010-11-19,0.2783
2010-11-20,0.2830
2010-11-21,0.2767
2010-11-22,0.2850
2010-11-23,0.2829
2010-11-24,0.2829
2010-11-25,0.2800
2010-11-26,0.2844
2010-11-27,0.2830
2010-11-28,0.2714
2010-11-29,0.2306
2010-11-30,0.2082
2010-12-01,0.2275
2010-12-02,0.2550
2010-12-03,0.2511
2010-12-04,0.2050
2010-12-05,0.2029
2010-12-06,0.2040
2010-12-07,0.2334
2010-12-08,0.2388
2010-12-09,0.2000
2010-12-10,0.2040
2010-12-11,0.2280
2010-12-12,0.2199
2010-12-13,0.2276
2010-12-14,0.2467
2010-12-15,0.2400
2010-12-16,0.2500
2010-12-17,0.2427
2010-12-18,0.2410
2010-12-19,0.2401
2010-12-20,0.2670
2010-12-21,0.2414
2010-12-22,0.2500
2010-12-23,0.2500
2010-12-24,0.2480
2010-12-25,0.2499
2010-12-26,0.2650
2010-12-27,0.2648
2010-12-28,0.2810
2010-12-29,0.3000
2010-12-30,0.3000
2010-12-31,0.3000
2011-01-01,0.3000
2011-01-02,0.3000
2011-01-03,0.2950
2011-01-04,0.2989
2011-01-05,0.2989
2011-01-06,0.2980
2011-01-07,0.3200
2011-01-08,0.3229
2011-01-09,0.3230
2011-01-10,0.3266
2011-01-11,0.3266
2011-01-12,0.3188
2011-01-13,0.3176
2011-01-14,0.4000
2011-01-15,0.3860
2011-01-16,0.3868
2011-01-17,0.3495
2011-01-18,0.3130
2011-01-19,0.3130
2011-01-20,0.3900
2011-01-21,0.4199
2011-01-22,0.4400
2011-01-23,0.4424
2011-01-24,0.4199
2011-01-25,0.4100
2011-01-26,0.4151
2011-01-27,0.4212
2011-01-28,0.4445
2011-01-29,0.4390
2011-01-30,0.4771
2011-01-31,0.5251
2011-02-01,0.7075
2011-02-02,0.7254
2011-02-03,0.6939
2011-02-04,0.8110
2011-02-05,0.9117
2011-02-06,0.8980
2011-02-07,0.8894
2011-02-08,0.9180
2011-02-09,1.0161
2011-02-10,0.9797
2011-02-11,1.0541
2011-02-12,1.0787
2011-02-13,1.0500
2011-02-14,1.0700
2011-02-15,1.0500
2011-02-16,1.0317
2011-02-17,1.0399
2011-02-18,0.8990
2011-02-19,0.9440
2011-02-20,0.8650
2011-02-21,0.8357
2011-02-22,0.8770
2011-02-23,0.9000
2011-02-24,0.9891
2011-02-25,0.9147
2011-02-26,0.9580
2011-02-27,0.8950
2011-02-28,0.8602
2011-03-01,0.9211
2011-03-02,0.9399
2011-03-03,0.9391
2011-03-04,0.9011
2011-03-05,0.9078
2011-03-06,0.8848
2011-03-07,0.8776
2011-03-08,0.8661
2011-03-09,0.8600
2011-03-10,0.9207
2011-03-11,0.8800
2011-03-12,0.9178
2011-03-13,0.8925
2011-03-14,0.8939
2011-03-15,0.8722
2011-03-16,0.8512
2011-03-17,0.8254
2011-03-18,0.8020
2011-03-19,0.7650
2011-03-20,0.7415
2011-03-21,0.7590
2011-03-22,0.8091
2011-03-23,0.8497
2011-03-24,0.8724
2011-03-25,0.8838
2011-03-26,0.8552
2011-03-27,0.8220
2011-03-28,0.7947
2011-03-29,0.7925
2011-03-30,0.7897
2011-03-31,0.7846
2011-04-01,0.7741
2011-04-02,0.7820
2011-04-03,0.7790
2011-04-04,0.6800
2011-04-05,0.7157
2011-04-06,0.7400
2011-04-07,0.7538
2011-04-08,0.7500
2011-04-09,0.7341
2011-04-10,0.7332
2011-04-11,0.7701
2011-04-12,0.8614
2011-04-13,0.9303
2011-04-14,0.9986
2011-04-15,0.9837
2011-04-16,1.0466
2011-04-17,1.0981
2011-04-18,1.1494
2011-04-19,1.1852
2011-04-20,1.1421
2011-04-21,1.2073
2011-04-22,1.4045
2011-04-23,1.8289
2011-04-24,1.6320
2011-04-25,1.5645
2011-04-26,1.7708
2011-04-27,1.9032
2011-04-28,2.2857
2011-04-29,2.8506
2011-04-30,3.5000
2011-05-01,3.0942
2011-05-02,3.2000
2011-05-03,3.3606
2011-05-04,3.4087
2011-05-05,3.3437
2011-05-06,3.4551
2011-05-07,3.6413
2011-05-08,3.8487
2011-05-09,3.8041
2011-05-10,5.6517
2011-05-11,5.4398
